Movie Title,Year,Genre,Gross,Production Budget,ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collateral Damage,2002,Thriller,40077257,85000000,-0.740676572352941,0.1528283,-0.0126273,-0.8300994,0.05482697,-0.7750073,0.2254349,-0.3217699,-0.224624,-0.5186217,-0.1623461,0.1350763,-0.1490921,-0.0853988,-0.03148071,0.3848417,-0.2147976,0.2471363,-0.7435587,0.9414329,0.2252806,0.4804417,0.4899029,0.3511911,0.2127828,0.6888586,0.2620014,-0.2997456,-0.2010727,-0.254768,-0.03962721,0.2853784,-1.245776,0.4827712,-0.4959415,-0.6843358,-0.5604927,-1.287746,-0.1140278,-1.213252,-0.2540273,-1.356137,-0.3688124,-0.9690159,-0.04898493
Dances with Wolves,1990,Drama,184208842,19000000,4.33236121578947,0.4414809,-0.1207559,-0.1511069,-0.6099811,0.2747681,-1.053582,-0.5726446,-0.1690891,-1.08288,0.271293,-0.5632395,-0.2618993,-0.04809724,-1.147815,-0.1152382,-0.3520035,-0.1354667,-0.7141699,0.5232422,-0.1904892,-0.3011068,0.1747551,-0.497965,-0.09342364,-0.3338757,-0.1764738,-0.5591574,0.004433022,-0.5508652,-0.1365631,-0.7636502,0.3040526,-0.6231392,-0.1692035,-0.4808135,-0.6812785,-0.2847784,-1.210072,-0.684403,-0.6727808,-0.494148,-0.5497906,-0.05142313,-0.7474798
Day of the Dead,1985,Horror,5804262,3500000,-0.087901685714286,-0.05965033,-0.1163067,0.2225707,0.06941929,-0.3908437,-0.1604893,-0.507718,0.2973816,-0.2458832,-0.1326603,-0.231555,-0.382046,0.3066986,-0.09816923,-0.02913725,-0.1025895,-0.2310844,-0.1255739,-0.2481228,-0.09480795,0.2483617,-0.1072508,0.1090604,-0.2824671,0.4197399,0.2739152,-0.4680596,0.4277787,-0.01587201,0.3581172,0.8249452,-0.2033376,0.8752427,0.4187744,0.0762031,0.255138,0.3760992,-0.2518928,-0.2756862,0.4507989,-0.2672777,0.240312,-0.1713522,0.4117358
Devil in a Blue Dress,1995,Thriller,16140822,27000000,-0.671205477777778,-0.09935308,-0.04687025,0.6370453,-0.08661731,0.3063304,0.0399127,0.9305059,0.3612298,0.2530365,-0.2876537,0.2538466,0.2272195,0.02651037,0.2151048,0.6999627,-0.9813989,0.258664,-0.1331043,0.7825796,0.3684995,0.5167896,0.1722435,0.4613489,0.2956885,0.20885,0.07202629,0.1622561,0.2826163,-1.138086,0.6956436,-0.1134607,0.1948374,0.6524173,0.2593963,0.2650057,0.6133067,0.0870438,1.623783,0.0004329676,1.066271,-0.3713017,0.2121462,0.5208254,-1.00692
Disturbia,2007,Thriller,80209692,20000000,1.20576653,-0.008087558,-1.165382,-2.245564,-0.6080703,0.8230641,-0.4375546,0.08948173,-0.06213609,-0.0387866,-0.6865939,0.3364435,-0.2125483,0.2540297,-0.07595056,0.1725322,-0.05476766,0.3555874,-0.4059343,0.1841212,0.06687413,0.08601549,-0.08119104,0.9943694,-1.032206,1.574263,0.1084823,0.4104436,-0.1868139,0.03592432,0.2081724,0.6899832,-0.7592857,0.7862413,0.09135623,0.4696287,-0.475652,0.3879067,-0.2747059,0.5099575,-0.1176229,0.8053659,1.351836,-0.7195245,-0.2483515
Dumb and Dumber,1994,Comedy,127175374,17000000,3.11449739411765,-0.08092414,0.17369,0.372628,0.1308577,0.01502756,0.6424496,-0.3948735,1.025885,-1.165451,2.128769,0.1087947,3.0607,-1.244266,3.345013,-4.381841,-0.7963914,1.522343,0.2512109,1.162388,-1.009672,1.824334,-2.048955,3.473435,-2.140229,4.51924,-9.937802,4.304851,-3.047351,1.743793,-0.897583,0.3492258,0.2994018,-0.07506133,-3.716157,2.394635,-1.082452,0.8888199,-0.1573711,0.3208649,0.1606942,-0.01163933,0.1602503,-0.1864092,0.1137963
Enemy of the State,1998,Action,111549836,85000000,-0.278206943529412,-0.183768,0.3233878,0.6211569,0.1268792,-0.368007,1.158545,-2.514293,1.471529,-0.3103964,0.0306229,0.1403174,-0.3425995,0.3321528,0.1040585,-1.743865,2.247059,-6.107161,-0.2804987,-3.935661,1.261037,-0.6646304,0.4265675,0.5329338,0.1756639,0.9751317,-0.8758678,0.6010176,-0.5616286,0.02026879,0.4555461,0.319918,0.1852543,-1.547302,0.6710565,0.05302517,0.1031386,0.7227094,-0.2824609,-0.2515453,0.7534929,-0.5793491,1.087796,-0.6856855,0.6189549
English Patient,1996,Drama,78716374,35000000,0.236971591428572,-0.08570023,0.1307043,-0.2713362,0.5338005,-0.2100406,0.1320657,0.3969586,-0.01406588,-0.287151,0.2504064,0.1042408,0.2479407,-0.4106855,0.3099345,-0.1328057,0.8044175,0.09828041,0.6047618,-0.1519328,0.3603367,-0.1877532,-0.05419089,0.5370365,-0.06151857,0.1624993,0.6240323,-0.3305965,0.6906997,0.6935051,-0.3218338,-0.1706457,0.9440045,0.5502892,-0.05918852,0.7380592,-0.2957446,0.6175095,-0.2832028,0.1580879,0.2032911,0.4782766,0.1327817,-0.1894952,0.5716817
Eternal Sunshine of the Spotless Mind,2004,Comedy,34366518,20000000,-0.054920755,0.1678607,0.01408281,0.3466166,-0.5616289,-0.04243719,-0.08386383,-0.0567378,0.7963972,-0.6240268,0.591969,-1.579612,1.944573,0.8428071,-0.6445488,0.3096273,-0.5375654,0.01615638,-0.4804947,-0.05637557,-0.3235287,-0.3345251,0.02801637,-0.6624011,1.025142,0.01555988,-0.1472793,-0.1116383,-0.2877624,-0.2545316,-0.08429681,-0.0456322,-0.3689936,0.5492192,-0.2877813,-0.1232324,-0.2468421,-0.2959363,-0.3412909,0.03816105,-0.2011716,-0.6233334,0.3668014,-0.4612345,-0.2888704
Fantastic Four,2005,Action,154696080,87500000,-0.02762464,-0.2924372,0.3667782,0.1499456,0.6197069,-0.01223597,0.02819787,0.1981031,0.3099313,0.30898,-0.2153689,0.5880752,0.2071549,-0.2972751,0.7544014,-0.4510359,2.762451,-0.9530283,1.344174,-0.8422286,0.2384637,0.2921342,0.1267954,0.4498973,0.1121478,0.5380245,-0.1964366,0.3950151,-0.5900946,0.5427406,-0.4813149,1.104595,-0.1776646,0.8733241,-0.2407439,0.179077,0.1227155,0.4128635,0.56998,1.068295,-0.2159127,0.8519768,1.510089,0.2648023,0.904274
Fight Club,1999,Drama,37030102,63000000,-0.676721331746032,-0.2829386,0.4274955,0.1513994,-0.1386529,0.2620022,-0.09407666,0.2903344,-0.4385274,0.36137,-0.08655847,0.7857659,0.5966194,0.3265353,0.311445,0.349361,0.154067,0.3348487,-0.02129887,0.3487467,0.1796651,0.02537859,-0.02437023,0.4377073,0.02285212,0.7119726,-1.091648,0.5955567,-1.246847,0.6863288,0.6083779,0.4949128,0.05039397,0.7873031,0.8035352,1.248885,0.5557485,0.3300273,0.7926807,0.04949529,0.8189268,-0.01233323,0.5581828,0.6651983,-0.2679357
