"Movie.Title","Year","Genre","Rating","Gross","Production.Budget","orig.ROI","ROI"
"Parsed_Ordinary-People_g2.txt",1980,"Drama","R",52302978,6000000,3.79443965,2.26136221015352
"Parsed_Other-Boleyn-Girl,-The_g2.txt",2008,"Drama","PG-13",26814957,40000000,-0.63129434125,-1.43945853636744
"Parsed_Outbreak_g2.txt",1995,"Thriller","R",67823573,50000000,-0.253940697,-0.422637782444969
"Parsed_Pacifier,-The_g2.txt",2005,"Comedy","PG",113006880,56000000,0.109889,0.150415399857336
"Parsed_Patriot,-The_g2.txt",2000,"Drama","R",113330342,110000000,-0.43334829,-0.819465833523352
"Parsed_Pearl-Harbor_g2.txt",2001,"Action","PG-13",198539855,151500000,-0.279228249174917,-0.472385626109947
"Parsed_Pianist,-The_g2.txt",2002,"Drama","R",32519322,35000000,-0.488982082857143,-0.968554219536623
"Parsed_Pineapple-Express_g2.txt",2008,"Comedy","R",87341380,26000000,0.847606115384616,0.885657226478445
"Parsed_Pitch-Black_g2.txt",2000,"Horror","R",39235088,23000000,-0.061769634782609,-0.091985901408367
"Parsed_Predator_g2.txt",1987,"Action","R",59735548,18000000,0.825252855555556,0.868096336971914
"Parsed_Queen-of-the-Damned_g2.txt",2002,"Horror","R",30307804,35000000,-0.523734508571428,-1.07016207515554
"Parsed_Rambling-Rose_g2.txt",1991,"Drama","R",6266621,7500000,-0.540447793333333,-1.12169932908419
"Parsed_Reindeer-Games_g2.txt",2000,"Action","R",23360779,36000000,-0.643099209722222,-1.48640499896815
"Parsed_Robin-Hood-Prince-of-Thieves_g2.txt",1991,"Action","PG-13",165493908,50000000,0.820432988,0.864281634680003
"Parsed_rush_hour_2_g2.txt",2001,"Comedy","PG-13",226164286,90000000,0.382115081111111,0.466877745998265
"Parsed_Save-the-Last-Dance_g2.txt",2001,"Drama","PG-13",91038276,13000000,2.85161936923077,1.94546513795396
"Parsed_Se7en_g2.txt",1995,"Thriller","R",100125643,30000000,0.835636788333334,0.876280625468305
"Parsed_Sense-and-Sensibility_g2.txt",1995,"Drama","PG",42993774,16500000,0.4331258,0.519165255148039
"Parsed_Shawshank-Redemption,-The_g2.txt",1994,"Drama","R",28341469,25000000,-0.376487682,-0.681510032920675
"Parsed_silenceofthelambs_g2.txt",1991,"Thriller","R",130726716,20000000,2.59498469,1.84598562665675
"Parsed_Sister-Act_g2.txt",1992,"Comedy","PG",139605150,31000000,1.47686556451613,1.30851556633589
"Parsed_Sleepy-Hollow_g2.txt",1999,"Horror","R",101068340,70000000,-0.205891614285714,-0.332592164520482
"Parsed_sling_blade_g2.txt",1996,"Drama","R",24475416,4833610,1.7849741290671,1.47766392575562
"Parsed_Solaris_g2.txt",2002,"Drama","PG-13",14970038,47000000,-0.824818704255319,-2.51307934949692
"Parsed_soldier_g2.txt",1998,"Action","R",14623082,75000000,-0.892764065333333,-3.22113966224286
"Parsed_Spanglish_g2.txt",2004,"Comedy","PG-13",42044321,75000000,-0.691674979333333,-1.69747612556219
"Parsed_Sphere_g2.txt",1998,"Horror","PG-13",37068294,73000000,-0.720718332876712,-1.84020722094149
"Parsed_Spider-Man_g2.txt",2002,"Action","PG-13",403706375,139000000,0.597399325539568,0.675725009656405
"Parsed_Star-Wars-Return-of-the-Jedi_g2.txt",1983,"Action","PG",309205079,32500000,4.23270133692308,2.38755591765008
"Parsed_Supergirl_g2.txt",1984,"Action","PG",14296438,35000000,-0.775341688571429,-2.15419565828765
"Parsed_Suspect-Zero_g2.txt",2004,"Thriller","R",8712564,27000000,-0.822521844444444,-2.49428662976894
"Parsed_Swordfish_g2.txt",2001,"Thriller","R",69772969,102000000,-0.623773206372549,-1.41032549840005
"Parsed_Taking-Lives_g2.txt",2004,"Thriller","R",32682342,45000000,-0.600549153333333,-1.32391010771179
"Parsed_Terminator_g2.txt",1984,"Action","R",38019031,6400000,2.2672604765625,1.70808147567131
"Parsed_TheBodyGuard_PDF.txt",1992,"Thriller","R",121945720,25000000,1.68280584,1.423742647664
"Parsed_Theres-Something-About-Mary_g2.txt",1998,"Comedy","R",176484651,22000000,3.412116275,2.1414708115901
"Parsed_thering_g2.txt",2002,"Horror","PG-13",129094024,48000000,0.479202358333333,0.564819429985285
"Parsed_They_g2.txt",2002,"Horror","PG-13",12840842,17000000,-0.584560994117647,-1.26729141661725
"Parsed_Three-Kings_g2.txt",1999,"Action","R",60652036,48000000,-0.305028754166667,-0.524974806766073
"Parsed_Three-Men-and-a-Baby_g2.txt",1987,"Comedy","PG",167780960,15000000,5.15196853333333,2.62104812408647
"Parsed_Tin-Cup_g2.txt",1996,"Comedy","R",53854588,45000000,-0.341777257777778,-0.603352221077178
"Parsed_Titanic_g2.txt",1997,"Drama","PG-13",600788188,200000000,0.652167517,0.724359972285636
"Parsed_Tomorrow-Never-Dies_g2.txt",1997,"Action","PG-13",125304276,110000000,-0.37347862,-0.674564352628846
"Parsed_toy_story_g2.txt",1995,"Action","G",191780865,30000000,2.515982525,1.81392790007219
"Parsed_Troy_g2.txt",2004,"Action","R",133298577,150000000,-0.511238551,-1.03279759763962
"Parsed_unforgiven_g2.txt",1992,"Action","R",101157447,14400000,2.86365248958333,1.94996533897163
"Parsed_Virtuosity_g1.txt",1995,"Action","R",23998226,30000000,-0.560032523333333,-1.18453121428727
"Parsed_What-Lies-Beneath_g2.txt",2000,"Thriller","PG-13",155464351,90000000,-0.049940077222222,-0.073909584003824
"Parsed_Wild-Wild-West_g2.txt",1999,"Action","PG-13",113805681,175000000,-0.642325002571428,-1.48327882180589
"Parsed_Yes-Man_g2.txt",2008,"Comedy","PG-13",97690976,50000000,0.074600736,0.103800731267836
"Parsed_You-Can-Count-On-Me_g2.txt",2000,"Drama","R",9180275,1200000,3.20762604166667,2.07300648889661
"Parsed_You've-Got-Mail_g2.txt",1998,"Drama","PG",115821495,65000000,-0.019971965384615,-0.02910507543289
