Movie Title,Year,Genre,Gross,Production Budget,orig ROI,ROI,,,,,,,,
"Postman, The",1997,Action,17650704,80000000,-0.87865141,-3.04277074957776,0.5464247,-47.17754,2.298953,-2.836804,-1.819461,0.1211799,1.577523,-1.246996
Rambling Rose,1991,Drama,6266621,7500000,-0.540447793333333,-1.12169932908419,-0.1026731,27.87041,-12.15994,0.03771757,0.9637685,-0.04420925,-0.3031502,-0.5903687
Robin Hood Prince of Thieves,1991,Action,165493908,50000000,0.820432988,0.864281634680003,0.4443108,-14.74101,-2.797243,-1.551398,-2.983846,-0.6548936,-1.52821,0.8784686
Rush Hour 2,2001,Comedy,226164286,90000000,0.382115081111111,0.466877745998265,0.034936,2.942021,0.2485958,0.7264538,1.275505,1.010773,-0.755171,-4.359689
Sense and Sensibility,1995,Drama,42993774,16500000,0.4331258,0.519165255148039,-0.0296098,-2.44117,-0.7051553,-2.39846,1.41637,-2.723227,-0.3435925,0.04720012
Shawshank Redemption,1994,Drama,28341469,25000000,-0.376487682,-0.681510032920675,0.0601115,-21.48881,-3.19299,1.049736,0.6508319,-0.7464408,1.125002,0.6532533
Silence of the Lambs,1991,Thriller,130726716,20000000,2.59498469,1.84598562665675,-0.6025825,-3051.211,9.663805,1.189981,0.7560401,1.216983,0.4082627,-1.060512
Soldier,1998,Action,14623082,75000000,-0.892764065333333,-3.22113966224286,0.3328319,-1.29478,-3.353913,-0.2643028,NA,1.46789,-0.5676012,2.11837
Spanglish,2004,Comedy,42044321,75000000,-0.691674979333333,-1.69747612556219,-0.6085825,10.31674,0.3334172,5.488246,1.461788,7.423545,1.873351,2.602611
Sphere,1998,Horror,37068294,73000000,-0.720718332876712,-1.84020722094149,1.289141,-3.688204,-1.11102,1.065057,-2.128957,-2.780323,-5.045973,-1.671052
Suspect Zero,2004,Thriller,8712564,27000000,-0.822521844444444,-2.49428662976894,-0.2111262,4.174895,0.4866306,2.564588,2.499918,0.3215537,-4.77091,-0.6831058
Swordfish,2001,Thriller,69772969,102000000,-0.623773206372549,-1.41032549840005,-0.6151442,-67.17162,-3.595304,1.533483,5.233296,-0.166855,0.4683558,-1.202178
Taking Lives,2004,Thriller,32682342,45000000,-0.600549153333333,-1.32391010771179,0.1127479,-15.4181,0.2003866,-0.4395763,0.5979001,1.154084,0.2628646,1.551575
Three Kings,1999,Action,60652036,48000000,-0.305028754166667,-0.524974806766073,-0.2324538,330.0172,-2.359813,0.3820884,0.8906584,0.7741204,1.923177,0.6885199
Titanic,1997,Drama,600788188,200000000,0.652167517,0.724359972285636,0.2374102,-5.297769,0.4277678,0.000466581,-2.070222,-3.047445,-1.546368,-2.339202
Tomorrow Never Dies,1997,Action,125304276,110000000,-0.37347862,-0.674564352628846,0.3813121,-6.72112,-4.779582,2.766338,-1.545919,-0.9862676,0.2905833,0.3732123
